partei;zeitraum;Anzahl Segmente_Schulden;Anzahl Segmente_Migration;Anzahl Segmente_Ukraine;Anzahl Segmente_Bürgergeld
AfD;Wahlprogramm;84;104;29;70
AfD;01.01.-31.03.2022;56;9;31;12
AfD;01.10.-31.12.2023;70;29;16;31
AfD;01.10.-15.12.2024;64;26;16;21
AfD;01.01.-23.02.2025;7;11;3;2
AfD;01.05.-31.07.2025;109;46;40;29
CDU/CSU;Wahlprogramm;90;17;44;44
CDU/CSU;01.01.-31.03.2022;136;10;73;39
CDU/CSU;01.10.-31.12.2023;134;44;39;51
CDU/CSU;01.10.-15.12.2024;123;28;39;43
CDU/CSU;01.01.-23.02.2025;17;11;5;11
CDU/CSU;01.05.-31.07.2025;190;51;96;51
FDP;Wahlprogramm;27;6;16;19
FDP;01.01.-31.03.2022;93;4;41;22
FDP;01.10.-31.12.2023;82;25;16;22
FDP;01.10.-15.12.2024;78;19;24;24
FDP;01.01.-23.02.2025;12;20;4;4
Grüne;Wahlprogramm;52;21;33;56
Grüne;01.01.-31.03.2022;95;9;50;16
Grüne;01.10.-31.12.2023;94;39;31;38
Grüne;01.10.-15.12.2024;80;20;41;21
Grüne;01.01.-23.02.2025;25;5;6;5
Grüne;01.05.-31.07.2025;63;19;32;23
Linke;Wahlprogramm;118;21;24;76
Linke;01.01.-31.03.2022;25;2;10;18
Linke;01.10.-31.12.2023;37;8;5;26
Linke;01.10.-15.12.2024;18;7;7;11
Linke;01.01.-23.02.2025;1;2;1;4
Linke;01.05.-31.07.2025;37;14;19;28
SPD;Wahlprogramm;55;14;22;51
SPD;01.01.-31.03.2022;102;23;102;48
SPD;01.10.-31.12.2023;153;55;61;75
SPD;01.10.-15.12.2024;156;54;76;71
SPD;01.01.-23.02.2025;23;9;9;7
SPD;01.05.-31.07.2025;131;23;59;37
